Skyddet för den personliga integriteten;Kartläggning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 analys//NN|UTR|SIN|IND|NOM//conj//0
36 Forskning och statistik;Sekretess//NN|UTR|SIN|IND|NOM//nsubj//80 gäller//VB|PRS|AKT//parataxis//18 alltså//AB//advmod//80 med//PP//case//85 ett//DT|NEU|SIN|IND//det//85 omvänt//PC|PRF|NEU|SIN|IND|NOM//amod//85 skaderekvisit//NN|NEU|SIN|IND|NOM//obl//80 .//MAD//punct//80
36 Forskning och statistik;En//DT|UTR|SIN|IND//det//2 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//3 finns//VB|PRS|SFO//ROOT//3 också//AB//advmod//3 i//PP//case//10 7//RG|NOM//nummod//7 kap.//NN|AN//nmod//9 24//RG|NOM//nummod//9 §//NN|AN//nmod//10 SekrL//PM|NOM//obl//3 ,//MID//punct//14 där//HA//advmod//14 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 sägs//VB|PRS|SFO//acl:relcl//10 att//SN//mark//17 sekretess//NN|UTR|SIN|IND|NOM//nsubj//17 gäller//VB|PRS|AKT//csubj//14 för//PP//case//19 uppgift//NN|UTR|SIN|IND|NOM//obl//17 i//PP//case//21 upptagning//NN|UTR|SIN|IND|NOM//nmod//19 med//PP//case//26 dialektologiskt//JJ|POS|NEU|SIN|IND|NOM//amod//26 eller//KN//cc//25 etnologiskt//JJ|POS|NEU|SIN|IND|NOM//conj//23 innehåll//NN|NEU|SIN|IND|NOM//nmod//21 och//KN//cc//30 som//HP|-|-|-//nsubj:pass//30 har//VB|PRS|AKT//aux//30 gjorts//VB|SUP|SFO//conj//17 eller//KN//cc//32 anskaffats//VB|SUP|SFO//conj//30 för//PP//case//35 vetenskapligt//JJ|POS|NEU|SIN|IND|NOM//amod//35 ändamål//NN|NEU|SIN|IND|NOM//obl//32 .//MAD//punct//30
36 Forskning och statistik;I//PP//case//39 detta//DT|NEU|SIN|DEF//det//39 fall//NN|NEU|SIN|IND|NOM//obl//40 gäller//VB|PRS|AKT//parataxis//3 sekretess//NN|UTR|SIN|IND|NOM//obj//40 med//PP//case//44 rakt//JJ|POS|NEU|SIN|IND|NOM//amod//44 skaderekvisit//NN|NEU|SIN|IND|NOM//obl//40 ,//MID//punct//40 dvs.//AB|AN//advmod//48 med//PP//case//48 presumtion//NN|UTR|SIN|IND|NOM//obl//40 för//PP//case//50 offentlighet//NN|UTR|SIN|IND|NOM//nmod//48 .//MAD//punct//3
36 Forskning och statistik;Sekretess//NN|UTR|SIN|IND|NOM//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 enligt//PP//case//8 9//RG|NOM//nummod//5 kap.//NN|AN//nmod//6 29//RG|NOM//nummod//7 §//NN|AN//nmod//8 SekrL//PM|NOM//obl//1 med//PP//case//11 omvänt//PC|PRF|NEU|SIN|IND|NOM//amod//11 skaderekvisit//NN|NEU|SIN|IND|NOM//obl//1 för//PP//case//13 uppgift//NN|UTR|SIN|IND|NOM//obl//1 om//PP//case//17 enskilds//JJ|POS|UTR|SIN|IND|GEN//nmod:poss//17 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 förhållanden//NN|NEU|PLU|IND|NOM//nmod//13 i//PP//case//20 myndighets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 verksamhet//NN|UTR|SIN|IND|NOM//nmod//13 som//HP|-|-|-//nsubj//22 består//VB|PRS|AKT//acl:relcl//20 i//PP//case//24 etikprövning//NN|UTR|SIN|IND|NOM//obl//22 och//KN//cc//26 tillsyn//NN|UTR|SIN|IND|NOM//conj//24 enligt//PP//case//28 etikprövningslagen//NN|UTR|SIN|DEF|NOM//obl//22 .//MAD//punct//1
36 Forskning och statistik;En//DT|UTR|SIN|IND//det//2 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//2 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//12 för//PP//case//4 sekretess//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//7 forskningsrelaterad//PC|PRF|UTR|SIN|IND|NOM//amod//7 verksamhet//NN|UTR|SIN|IND|NOM//nmod//4 är//VB|PRS|AKT//cop//12 också//AB//advmod//12 den//DT|UTR|SIN|DEF//det//12 s.k.//AB|AN//amod//12 statistiksekretessen//NN|UTR|SIN|DEF|NOM//nsubj//18 i//PP//case//17 9//RG|NOM//nummod//15 kap.//NN|AN//nmod//16 4//RG|NOM//nummod//17 §//NN|AN//nmod//12 SekrL.//KN//advcl//24 En//DT|UTR|SIN|IND//det//20 redogörelse//NN|UTR|SIN|IND|NOM//nsubj:pass//24 för//PP//case//23 denna//DT|UTR|SIN|DEF//det//23 bestämmelse//NN|UTR|SIN|IND|NOM//nmod//20 lämnas//VB|PRS|SFO//ROOT//24 nedan//AB//advmod//24 i//PP//case//28 avsnitt//NN|NEU|SIN|IND|NOM//nmod//28 36.3.1//RG|NOM//obl//24 .//MAD//punct//24
36 Forskning och statistik;Sammanfattningsvis//AB//advmod//1 gäller//VB|PRS|AKT//ROOT//1 sekretess//NN|UTR|SIN|IND|NOM//obj//1 i//PP//case//5 forskningsrelaterad//PC|PRF|UTR|SIN|IND|NOM//amod//5 verksamhet//NN|UTR|SIN|IND|NOM//obl//1 hos//PP//case//7 myndighet//NN|UTR|SIN|IND|NOM//nmod//5 till//PP//case//13 skydd//NN|NEU|SIN|IND|NOM//fixed//8 för//PP//fixed//8 enskilds//JJ|POS|UTR|SIN|IND|GEN//nmod:poss//13 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 förhållanden//NN|NEU|PLU|IND|NOM//nmod//7 ,//MID//punct//1 om//PP//mark//20 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//20 för//PP//case//18 forskningen//NN|UTR|SIN|DEF|NOM//nmod//16 har//VB|PRS|AKT//aux//20 samlats//VB|SUP|SFO//advcl//1 in//PL//compound:prt//20 från//PP//case//24 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 myndigheter//NN|UTR|PLU|IND|NOM//obl//20 där//HA//advmod//27 sekretess//NN|UTR|SIN|IND|NOM//nsubj//27 gäller//VB|PRS|AKT//advcl//20 för//PP//case//29 uppgifterna//NN|UTR|PLU|DEF|NOM//obl//27 .//MAD//punct//1
36 Forskning och statistik;Har//VB|PRS|AKT//aux//33 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//33 samlats//VB|SUP|SFO//parataxis//1 in//PL//compound:prt//33 från//PP//case//36 myndigheter//NN|UTR|PLU|IND|NOM//obl//33 där//HA//advmod//40 sekretess//NN|UTR|SIN|IND|NOM//nsubj//40 inte//AB//advmod//40 gäller//VB|PRS|AKT//acl:relcl//36 ,//MID//punct//48 eller//KN//cc//48 direkt//AB|POS//advmod//45 från//PP//case//45 forskningspersonerna//NN|UTR|PLU|DEF|NOM//obl//48 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//45 ,//MID//punct//45 gäller//VB|PRS|AKT//conj//33 alltid//AB//advmod//48 minimiskyddet//NN|NEU|SIN|DEF|NOM//obj//48 för//PP//case//52 uppgifter//NN|UTR|PLU|IND|NOM//obl//48 om//PP//case//54 hälsa//NN|UTR|SIN|IND|NOM//nmod//52 och//KN//cc//56 sexualliv//NN|NEU|SIN|IND|NOM//conj//54 .//MAD//punct//33
36 Forskning och statistik;I//PP//advmod//60 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//58 finns//VB|PRS|SFO//conj//33 skydd//NN|NEU|SIN|IND|NOM//nsubj//60 för//PP//case//63 uppgifter//NN|UTR|PLU|IND|NOM//obl//60 som//HP|-|-|-//nsubj//65 hänför//VB|PRS|AKT//acl:relcl//63 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//65 till//PP//case//69 psykologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 undersökningar//NN|UTR|PLU|IND|NOM//obl//65 eller//KN//cc//72 för//PP//case//72 uppgifter//NN|UTR|PLU|IND|NOM//conj//69 med//PP//case//77 dialektologiskt//JJ|POS|NEU|SIN|IND|NOM//amod//77 eller//KN//cc//76 etnologiskt//JJ|POS|NEU|SIN|IND|NOM//conj//74 innehåll//NN|NEU|SIN|IND|NOM//nmod//72 .//MAD//punct//33
36 Forskning och statistik;Sekretess//NN|UTR|SIN|IND|NOM//nsubj//80 gäller//VB|PRS|AKT//parataxis//33 också//AB//advmod//80 vid//PP//case//83 tillsyn//NN|UTR|SIN|IND|NOM//obl//80 och//KN//cc//85 prövning//NN|UTR|SIN|IND|NOM//conj//83 enligt//PP//case//87 etikprövningslagen//NN|UTR|SIN|DEF|NOM//nmod//85 .//MAD//punct//1
36 Forskning och statistik;I//PP//case//2 den//DT|UTR|SIN|DEF//det//2 mån//NN|UTR|SIN|IND|NOM//obl//4 någon//DT|UTR|SIN|IND//det//4 sekretessbestämmelse//NN|UTR|SIN|IND|NOM//nsubj//7 inte//AB//advmod//7 är//VB|PRS|AKT//cop//7 tillämplig//JJ|POS|UTR|SIN|IND|NOM//ROOT//7 på//PP//case//9 uppgifter//NN|UTR|PLU|IND|NOM//obl//7 i//PP//case//13 offentligt//AB|POS//advmod//12 bedriven//PC|PRF|UTR|SIN|IND|NOM//amod//13 forskningsverksamhet//NN|UTR|SIN|IND|NOM//nmod//9 ,//MID//punct//18 är//VB|PRS|AKT//cop//18 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj//18 alltså//AB//advmod//18 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//7 .//MAD//punct//7
36 Forskning och statistik;Tystnadsplikt//NN|UTR|SIN|IND|NOM//ROOT//0
36 Forskning och statistik;Sekretesslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//2 gäller//VB|PRS|AKT//ROOT//2 inte//AB//advmod//2 för//PP//case//6 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//6 forskningsverksamhet//NN|UTR|SIN|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//8 bedrivs//VB|PRS|SFO//acl:relcl//6 av//PP//case//10 enskild//JJ|POS|UTR|SIN|IND|NOM//obl:agent//8 .//MAD//punct//2
36 Forskning och statistik;Skydd//NN|NEU|SIN|IND|NOM//parataxis//2 för//PP//case//15 enskildas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//amod//15 integritet//NN|UTR|SIN|IND|NOM//nmod//12 i//PP//case//18 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//18 forskning//NN|UTR|SIN|IND|NOM//nmod//15 är//VB|PRS|AKT//cop//20 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//2 av//PP//compound:prt//20 att//SN//mark//24 tystnadsplikt//NN|UTR|SIN|IND|NOM//nsubj//24 gäller//VB|PRS|AKT//advcl//20 för//PP//case//26 verksamheten//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//2
36 Forskning och statistik;Något//DT|NEU|SIN|IND//det//3 generellt//AB|POS//advmod//2 reglerad//PC|PRF|UTR|SIN|IND|NOM//amod//3 tystnadsplikt//NN|UTR|SIN|IND|NOM//ROOT//3 för//PP//case//5 uppgifter//NN|UTR|PLU|IND|NOM//nmod//3 inom//PP//case//9 enskilt//AB|POS//advmod//8 bedriven//PC|PRF|UTR|SIN|IND|NOM//amod//9 forskning//NN|UTR|SIN|IND|NOM//nmod//5 ,//MID//punct//11 likt//AB//advmod//3 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//11 som//HP|-|-|-//nsubj//14 finns//VB|PRS|SFO//acl:relcl//12 inom//PP//case//16 hälsosjukvården//NN|UTR|SIN|DEF|NOM//obl//14 enligt//PP//case//18 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//16 i//PP//case//20 LYHS//PM|NOM//nmod//18 ,//MID//punct//22 finns//VB|PRS|SFO//conj//3 dock//AB//advmod//22 inte//AB//advmod//22 .//MAD//punct//3
36 Forskning och statistik;För//PP//case//2 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//2 forskning//NN|UTR|SIN|IND|NOM//obl//13 som//HP|-|-|-//nsubj:pass//4 omfattas//VB|PRS|SFO//acl:relcl//2 av//PP//case//6 kravet//NN|NEU|SIN|DEF|NOM//obl//4 på//PP//case//8 godkännande//NN|NEU|SIN|IND|NOM//nmod//6 enligt//PP//case//10 etikprövningslagen//NN|UTR|SIN|DEF|NOM//nmod//8 får//VB|PRS|AKT//aux//13 villkor//NN|NEU|PLU|IND|NOM//nsubj:pass//13 ställas//VB|INF|SFO//ROOT//13 upp//PL//compound:prt//13 enligt//PP//case//17 6//RG|NOM//nummod//17 §//NN|AN//nmod//19 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//19 lag//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//13
36 Forskning och statistik;Frågan//NN|UTR|SIN|DEF|NOM//parataxis//13 om//PP//mark//30 i//PP//case//25 vilka//HD|UTR/NEU|PLU|IND//det//25 sammanhang//NN|NEU|PLU|IND|NOM//obl//30 ett//DT|NEU|SIN|IND//det//28 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//28 villkor//NN|NEU|SIN|IND|NOM//nsubj//30 bör//VB|PRS|AKT//aux//30 avse//VB|INF|AKT//acl//21 tystnadsplikt//NN|UTR|SIN|IND|NOM//obj//30 för//PP//case//33 uppgifter//NN|UTR|PLU|IND|NOM//obl//30 om//PP//mark//36 forskningspersonerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//36 behandlas//VB|PRS|SFO//advcl//30 inte//AB//advmod//36 i//PP//case//39 förarbetena//NN|NEU|PLU|DEF|NOM//obl//36 (//PAD//punct//21 jfr//VB|AN//parataxis//21 a.//NN|AN//iobj//41 prop//NN|UTR|SIN|IND|NOM//obj//41 .//MAD//punct//21
36 Forskning och statistik;s.//NN|AN//nmod//46 113//RG|NOM//nummod//47 f.//NN|AN//nmod//21 och//KN//cc//50 195//RG|NOM//nummod//50 f.//NN|AN//conj//47 )//PAD//punct//21 .//MAD//punct//13
36 Forskning och statistik;Såvitt//SN//nsubj//54 framgår//VB|PRS|AKT//parataxis//13 innebär//VB|PRS|AKT//xcomp//54 inte//AB//advmod//55 heller//AB//advmod//55 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//59 krav//NN|NEU|PLU|IND|NOM//obj//55 på//PP//case//61 information//NN|UTR|SIN|IND|NOM//nmod//59 och//KN//cc//63 samtycke//NN|NEU|SIN|IND|NOM//conj//61 att//SN//mark//69 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//69 om//PP//case//67 tystnadsplikt//NN|UTR|SIN|IND|NOM//nmod//65 skall//VB|PRS|AKT//aux//69 tas//VB|INF|SFO//acl:relcl//59 upp//PL//compound:prt//69 i//PP//case//73 detta//DT|NEU|SIN|DEF//det//73 sammanhang//NN|NEU|SIN|IND|NOM//obl//69 .//MAD//punct//13
36 Forskning och statistik;Humanistisk-samhällsvetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 forskningsrådets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 etikkommitté//NN|UTR|SIN|IND|NOM//nsubj//14 ,//MID//punct//2 vars//HS|DEF//nmod:poss//5 verksamhet//NN|UTR|SIN|IND|NOM//nsubj//9 sedan//PP//case//8 år//NN|NEU|SIN|IND|NOM//nmod//8 2001//RG|NOM//nmod//5 ingår//VB|PRS|AKT//acl:relcl//2 i//PP//case//11 Vetenskapsrådet//NN|NEU|SIN|DEF|NOM//obl//9 ,//MID//punct//2 har//VB|PRS|AKT//aux//14 utarbetat//VB|SUP|AKT//ROOT//14 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 regler//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj:pass//18 använts//VB|SUP|SFO//acl:relcl//16 även//AB//advmod//18 inom//PP//case//22 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 områden//NN|NEU|PLU|IND|NOM//obl//18 ,//MID//punct//22 t.ex.//AB|AN//advmod//25 Forskningsrådet//NN|NEU|SIN|DEF|NOM//appos//22 för//PP//case//27 arbetsliv//NN|NEU|SIN|IND|NOM//nmod//25 och//KN//cc//29 socialvetenskap//NN|UTR|SIN|IND|NOM//conj//27 (//PAD//punct//14 FAS//PM|NOM//appos//14 )//PAD//punct//31 .//MAD//punct//14
36 Forskning och statistik;Enligt//PP//case//36 dessa//DT|UTR/NEU|PLU|DEF//det//36 etikregler//NN|UTR|PLU|IND|NOM//obl//41 kan//VB|PRS|AKT//aux//41 det//DT|NEU|SIN|DEF//det//40 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 individskyddskravet//NN|NEU|SIN|DEF|NOM//nsubj:pass//41 konkretiseras//VB|PRS|SFO//conj//14 i//PP//case//45 fyra//RG|NOM//nummod//45 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 huvudkrav//NN|NEU|PLU|IND|NOM//obl//41 på//PP//case//47 forskningen//NN|UTR|SIN|DEF|NOM//nmod//45 ,//MID//punct//50 nämligen//AB//advmod//50 informationskravet//NN|NEU|SIN|DEF|NOM//appos//47 ,//MID//punct//52 samtyckeskravet//NN|NEU|SIN|DEF|NOM//conj//50 ,//MID//punct//54 konfidentialitetskravet//NN|NEU|SIN|DEF|NOM//conj//50 och//KN//cc//56 nyttjandekravet//NN|NEU|SIN|DEF|NOM//conj//50 .//MAD//punct//14
36 Forskning och statistik;Konfidentialitetskravet//NN|NEU|SIN|DEF|NOM//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 att//SN//mark//18 all//DT|UTR|SIN|IND/DEF//det//4 personal//NN|UTR|SIN|IND|NOM//nsubj//18 i//PP//case//6 forskningsprojekt//NN|NEU|SIN|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//8 använder//VB|PRS|AKT//acl:relcl//4 etiskt//AB|POS//advmod//10 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 uppgifter//NN|UTR|PLU|IND|NOM//obj//8 om//PP//case//16 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 ,//MID//punct//13 identifierbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 personer//NN|UTR|PLU|IND|NOM//nmod//11 bör//VB|PRS|AKT//aux//18 underteckna//VB|INF|AKT//ccomp//1 en//DT|UTR|SIN|IND//det//20 förbindelse//NN|UTR|SIN|IND|NOM//obj//18 om//PP//case//22 tystnadsplikt//NN|UTR|SIN|IND|NOM//nmod//20 beträffande//PP//case//25 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//25 uppgifter//NN|UTR|PLU|IND|NOM//nmod//22 .//MID//punct//1
36 Forskning och statistik;Alla//DT|UTR/NEU|PLU|IND/DEF//det//28 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//33 om//PP//case//31 identifiera//VB|INF|AKT//amod//31 personer//NN|UTR|PLU|IND|NOM//nmod//28 skall//VB|PRS|AKT//aux//33 antecknas//VB|INF|SFO//ccomp//1 ,//MID//punct//35 lagras//VB|INF|SFO//conj//33 och//KN//cc//37 avrapporteras//VB|PRS|SFO//conj//33 på//PP//case//41 ett//DT|NEU|SIN|IND//det//41 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//41 sätt//NN|NEU|SIN|IND|NOM//obl//37 att//SN//mark//47 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 människor//NN|UTR|PLU|IND|NOM//nsubj:pass//47 inte//AB//advmod//47 kan//VB|PRS|AKT//aux//47 identifieras//VB|INF|SFO//acl//41 av//PP//case//49 utomstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl:agent//47 .//MAD//punct//33
36 Forskning och statistik;I//PP//advmod//33 synnerhet//NN|UTR|SIN|IND|NOM//fixed//51 gäller//VB|PRS|AKT//conj//33 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//53 om//PP//case//56 uppgifter//NN|UTR|PLU|IND|NOM//obl//53 som//HP|-|-|-//nsubj:pass//59 kan//VB|PRS|AKT//aux//59 uppfattas//VB|INF|SFO//acl:relcl//56 vara//VB|INF|AKT//cop//62 etiskt//AB|POS//advmod//62 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//59 .//MAD//punct//1
36 Forskning och statistik;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//68 skall//VB|PRS|AKT//aux//68 vara//VB|INF|AKT//cop//68 praktiskt//AB|POS//advmod//68 omöjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 för//PP//case//70 utomstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//68 att//IE//mark//72 komma//VB|INF|AKT//acl//70 åt//PL//case//74 uppgifterna//NN|UTR|PLU|DEF|NOM//obl//72 .//MAD//punct//68
36 Forskning och statistik;Nyttjandekravet//NN|NEU|SIN|DEF|NOM//nsubj//1 innebär//VB|PRS|AKT//ROOT//1 att//SN//mark//7 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//7 om//PP//case//5 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//3 ,//MID//punct//3 insamlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 för//PP//case//9 forskningsändamål//NN|NEU|PLU|IND|NOM//obl//7 ,//MID//punct//13 inte//AB//advmod//13 får//VB|PRS|AKT//aux//13 användas//VB|INF|SFO//conj//7 eller//KN//cc//15 utlånas//VB|INF|SFO//conj//13 för//PP//case//18 kommersiellt//JJ|POS|NEU|SIN|IND|NOM//amod//18 bruk//NN|NEU|SIN|IND|NOM//obl//15 eller//KN//cc//22 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 icke-vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 syften//NN|NEU|PLU|IND|NOM//conj//18 .//MAD//punct//1
36 Forskning och statistik;Personuppgifter//NN|UTR|PLU|IND|NOM//nsubj//25 insamlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//1 för//PP//case//27 forskningsändamål//NN|NEU|PLU|IND|NOM//obl//25 får//VB|PRS|AKT//aux//30 inte//AB//advmod//30 användas//VB|INF|SFO//conj//1 för//PP//case//32 beslut//NN|NEU|PLU|IND|NOM//obl//30 eller//KN//cc//34 åtgärder//NN|UTR|PLU|IND|NOM//conj//32 som//HP|-|-|-//nsubj//37 direkt//AB|POS//advmod//37 påverkar//VB|PRS|AKT//acl:relcl//34 den//DT|UTR|SIN|DEF//obj//37 enskilde//JJ|POS|MAS|SIN|DEF|NOM//xcomp//37 (//PAD//punct//41 vård//NN|UTR|SIN|IND|NOM//appos//39 ,//MID//punct//43 tvångsintagning//NN|UTR|SIN|IND|NOM//conj//39 etc.//AB|AN//conj//39 )//PAD//punct//30 utom//KN//advmod//49 efter//PP//case//49 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//49 medgivande//NN|NEU|SIN|IND|NOM//obl//1 av//PP//case//52 den//DT|UTR|SIN|DEF//det//52 berörda//PC|PRF|UTR/NEU|SIN|DEF|NOM//nmod//49 .//MAD//punct//1

36.2 Insamling av uppgifter om forskningspersoner;36.2.1//RG|NOM//nummod//1 Sekretesslagen//PM|NOM//ROOT//1
36.2 Insamling av uppgifter om forskningspersoner;Att//SN//mark//3 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 tillåtet//PC|PRF|NEU|SIN|IND|NOM//csubj//15 att//IE//mark//5 behandla//VB|INF|AKT//csubj//3 uppgifter//NN|UTR|PLU|IND|NOM//obj//5 om//PP//case//9 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 personer//NN|UTR|PLU|IND|NOM//nmod//6 enligt//PP//case//11 etikprövningslagen//NN|UTR|SIN|DEF|NOM//nmod//9 eller//KN//cc//14 enligt//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//conj//11 innebär//VB|PRS|AKT//ROOT//15 inte//AB//advmod//15 att//SN//mark//20 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 sekretessregler//NN|UTR|PLU|IND|NOM//nsubj:pass//20 bryts//VB|PRS|SFO//ccomp//15 och//KN//cc//25 att//SN//mark//25 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//25 får//VB|PRS|AKT//aux//25 lämnas//VB|INF|SFO//conj//20 ut//PL//compound:prt//25 till//PP//case//30 det//DT|NEU|SIN|DEF//det//30 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 forskningsprojektet//NN|NEU|SIN|DEF|NOM//obl//25 .//MID//punct//15
36.2 Insamling av uppgifter om forskningspersoner;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 är//VB|PRS|AKT//cop//36 således//AB//advmod//36 sekretesslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 regler//NN|UTR|PLU|IND|NOM//parataxis//15 som//HP|-|-|-//nsubj//38 styr//VB|PRS|AKT//acl:cleft//36 huruvida//SN//mark//42 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//42 kan//VB|PRS|AKT//aux//42 lämnas//VB|INF|SFO//ccomp//38 ut//PL//compound:prt//42 från//PP//case//45 myndigheter//NN|UTR|PLU|IND|NOM//obl//42 till//PP//case//49 ett//DT|NEU|SIN|IND//det//49 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//49 projekt//NN|NEU|SIN|IND|NOM//obl//42 .//MAD//punct//36
36.2 Insamling av uppgifter om forskningspersoner;Sekretesslagen//NN|UTR|SIN|DEF|NOM//nsubj//1 innehåller//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 någon//DT|UTR|SIN|IND//det//4 bestämmelse//NN|UTR|SIN|IND|NOM//obj//1 som//HP|-|-|-//nsubj//7 generellt//AB|POS//advmod//7 reglerar//VB|PRS|AKT//acl:relcl//4 när//HA//mark//11 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//11 kan//VB|PRS|AKT//aux//11 lämnas//VB|INF|SFO//advcl//7 till//PP//case//14 forskningsrelaterad//PC|PRF|UTR|SIN|IND|NOM//amod//14 verksamhet//NN|UTR|SIN|IND|NOM//obl//11 .//MID//punct//1
36.2 Insamling av uppgifter om forskningspersoner;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//parataxis//1 inte//AB//advmod//17 heller//AB//advmod//17 särskilt//AB//advmod//21 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//17 som//HP|-|-|-//nsubj//27 i//PP//case//26 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 fall//NN|NEU|PLU|IND|NOM//obl//27 tar//VB|PRS|AKT//acl:relcl//22 sikte//NN|NEU|SIN|IND|NOM//obj//27 på//PP//case//30 utlämnande//NN|NEU|SIN|IND|NOM//obl//27 av//PP//case//32 uppgifter//NN|UTR|PLU|IND|NOM//nmod//30 för//PP//case//34 forskningsändamål//NN|NEU|PLU|IND|NOM//nmod//32 .//MAD//punct//17
