Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 författningsregleras//VB|PRS|SFO//ccomp//2 och//KN//cc//10 anpassas//VB|INF|SFO//conj//8 till//PP//case//12 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//10 i//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//8 1998:204//RG|NOM//conj//8 )//PAD//punct//8 .//MAD//punct//2
Samkörning;Personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//118 (//PAD//punct//33 9//RG|NOM//nummod//36 §//NN|AN//nmod//38 första//RO|NOM//amod//38 stycket//NN|NEU|SIN|DEF|NOM//appos//33 d//NN|NEU|SIN|IND|NOM//nmod//38 ,//MID//punct//38 e//NN|NEU|SIN|IND|NOM//conj//38 och//KN//fixed//41 f//NN|NEU|SIN|IND|NOM//nummod//41 )//PAD//punct//33 –//PAD//punct//33 att//SN//mark//49 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//49 får//VB|PRS|AKT//aux//49 behandlas//VB|INF|SFO//acl:relcl//33 för//PP//case//52 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 ändamål//NN|NEU|PLU|IND|NOM//obl//49 än//KN//mark//59 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//59 för//PP//case//56 vilka//HP|UTR/NEU|PLU|IND//obl//59 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//59 ursprungligen//AB//advmod//59 samlades//VB|PRT|SFO//advcl//49 in//PL//compound:prt//59 bara//AB//advmod//59 om//SN//mark//68 de//DT|UTR/NEU|PLU|DEF//det//65 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 ändamålen//NN|NEU|PLU|DEF|NOM//nsubj//68 inte//AB//advmod//68 är//VB|PRS|AKT//cop//68 oförenliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//59 med//PP//case//72 de//DT|UTR/NEU|PLU|DEF//det//72 ursprungliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 ändamålen//NN|NEU|PLU|DEF|NOM//obl//68 ,//MID//punct//33 att//SN//mark//108 de//DT|UTR/NEU|PLU|DEF//det//76 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj//108 som//HP|-|-|-//nsubj:pass//78 behandlas//VB|PRS|SFO//acl:relcl//76 skall//VB|PRS|AKT//aux//81 vara//VB|INF|AKT//cop//81 adekvata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//78 och//KN//cc//83 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//81 i//PP//case//87 förhållande//NN|NEU|SIN|IND|NOM//fixed//84 till//PP//fixed//84 ändamålen//NN|NEU|PLU|DEF|NOM//obl//83 med//PP//case//89 behandlingen//NN|UTR|SIN|DEF|NOM//obl//83 samt//KN//cc//96 att//SN//mark//96 inte//AB//advmod//93 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//94 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//96 får//VB|PRS|AKT//aux//96 behandlas//VB|INF|SFO//conj//76 än//KN//mark//100 som//HP|-|-|-//nsubj//100 är//VB|PRS|AKT//cop//100 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//advcl//96 med//PP//case//104 hänsyn//NN|UTR|SIN|IND|NOM//fixed//101 till//PP//case//104 ändamålen//NN|NEU|PLU|DEF|NOM//obl//100 med//PP//case//106 behandlingen//NN|UTR|SIN|DEF|NOM//obl//100 –//RG|NOM//punct//108 innebär//VB|PRS|AKT//acl:relcl//33 ett//DT|NEU|SIN|IND//det//111 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//amod//111 integritetsskydd//NN|NEU|SIN|IND|NOM//obj//108 för//PP//case//114 den//DT|UTR|SIN|DEF//det//114 enskilde//JJ|POS|MAS|SIN|DEF|NOM//obl//108 .//MAD//punct//33
Samkörning;I//PP//case//117 praktiken//NN|UTR|SIN|DEF|NOM//obl//118 begränsar//VB|PRS|AKT//parataxis//2 dessa//DT|UTR/NEU|PLU|DEF//det//120 bestämmelser//NN|UTR|PLU|IND|NOM//obj//118 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//118 till//PP//case//123 samkörning//NN|UTR|SIN|IND|NOM//nmod//121 på//PP//case//126 ett//DT|NEU|SIN|IND//det//126 sätt//NN|NEU|SIN|IND|NOM//nmod//121 som//HP|-|-|-//nsubj//129 är//VB|PRS|AKT//cop//129 godtagbart//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//126 från//PP//case//131 integritetssynpunkt//NN|UTR|SIN|IND|NOM//obl//129 samtidigt//AB//mark//135 som//HA//fixed//132 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//135 innebär//VB|PRS|AKT//advcl//129 att//SN//mark//139 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//139 kan//VB|PRS|AKT//aux//139 samköras//VB|INF|SFO//ccomp//135 när//HA//mark//143 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//143 är//VB|PRS|AKT//cop//143 ändamålsenligt//JJ|POS|NEU|SIN|IND|NOM//advcl//139 och//KN//cc//145 lämpligt//JJ|POS|NEU|SIN|IND|NOM//conj//143 .//MID//punct//118
Samkörning;Även//AB//advmod//148 59//RG|NOM//nummod//149 §//NN|AN//nmod//150 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//obj//118 och//KN//cc//152 bestämmelserna//NN|UTR|PLU|DEF|NOM//conj//150 i//PP//case//154 sekretesslagen//NN|UTR|SIN|DEF|NOM//nmod//152 kan//VB|PRS|AKT//aux//156 hindra//VB|INF|AKT//conj//118 att//SN//mark//159 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//159 samkörs//VB|PRS|SFO//ccomp//156 .//MAD//punct//2

Utlämnande av personuppgifter på medium för automatiserad behandling;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 lagen//NN|UTR|SIN|DEF|NOM//obl//4 behövs//VB|PRS|SFO//ROOT//4 ingen//DT|UTR|SIN|IND//det//6 regel//NN|UTR|SIN|IND|NOM//nsubj:pass//4 som//HP|-|-|-//nsubj//8 tillåter//VB|PRS|AKT//acl:relcl//6 att//SN//mark//10 person//NN|UTR|SIN|IND|NOM//nsubj:pass//15 uppgifter//NN|UTR|PLU|IND|NOM//obj//10 inom//PP//case//13 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//10 får//VB|PRS|AKT//aux//15 lämnas//VB|INF|SFO//xcomp//8 ut//PL//compound:prt//15 på//PP//case//18 medium//NN|NEU|SIN|IND|NOM//obl//15 för//PP//case//21 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//21 behandling//NN|UTR|SIN|IND|NOM//nmod//18 (//PAD//punct//21 avsnitt//NN|NEU|SIN|IND|NOM//nmod//24 6.8//RG|NOM//appos//21 )//PAD//punct//4 .//MAD//punct//4
Utlämnande av personuppgifter på medium för automatiserad behandling;Personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//29 får//VB|PRS|AKT//aux//29 lämnas//VB|INF|SFO//conj//4 ut//PL//compound:prt//29 på//PP//case//33 vilket//HD|NEU|SIN|IND//det//33 medium//NN|NEU|SIN|IND|NOM//obl//29 som//KN//case//35 helst//AB|SUV//acl//33 om//PP//case//37 behandlingen//NN|UTR|SIN|DEF|NOM//obl//29 –//PAD//punct//39 utlämnandet//NN|NEU|SIN|DEF|NOM//conj//37 –//PAD//punct//43 inte//AB//advmod//43 är//VB|PRS|AKT//cop//43 oförenlig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//39 med//PP//case//46 det//DT|NEU|SIN|DEF//det//46 ändamål//NN|NEU|SIN|IND|NOM//obl//43 för//PP//case//48 vilket//HP|NEU|SIN|IND//obl//51 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//51 ursprungligen//AB//advmod//51 samlades//VB|PRT|SFO//acl:relcl//46 in//PL//compound:prt//51 .//MAD//punct//39
Utlämnande av personuppgifter på medium för automatiserad behandling;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//55 följer//VB|PRS|AKT//conj//4 direkt//AB|POS//advmod//55 av//PP//case//58 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//obl//55 .//MAD//punct//55
Utlämnande av personuppgifter på medium för automatiserad behandling;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//61 finns//VB|PRS|SFO//parataxis//55 inte//AB//advmod//61 heller//AB//advmod//61 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//65 anledning//NN|UTR|SIN|IND|NOM//nsubj//61 att//IE//mark//67 förbjuda//VB|INF|AKT//acl//65 att//SN//mark//70 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//70 lämnas//VB|PRS|SFO//ccomp//67 ut//PL//compound:prt//70 på//PP//case//75 ett//DT|NEU|SIN|IND//det//75 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//75 medium//NN|NEU|SIN|IND|NOM//obl//70 .//MAD//punct//61
Utlämnande av personuppgifter på medium för automatiserad behandling;Sekretesslagen//PM|NOM//nsubj//83 eller//KN//cc//80 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 bestämmelser//NN|UTR|PLU|IND|NOM//conj//77 kan//VB|PRS|AKT//aux//83 dock//AB//advmod//83 hindra//VB|INF|AKT//parataxis//61 att//SN//mark//90 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//90 över//PP//advmod//90 huvud//NN|NEU|SIN|IND|NOM//fixed//86 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//86 får//VB|PRS|AKT//aux//90 lämnas//VB|INF|SFO//ccomp//83 ut//PL//compound:prt//90 .//MAD//punct//4

Direktåtkomst;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//17 som//HP|-|-|-//nsubj//2 har//VB|PRS|AKT//acl:relcl//0 direktåtkomst//NN|UTR|SIN|IND|NOM//obj//2 till//PP//case//5 information//NN|UTR|SIN|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//7 behandlas//VB|PRS|SFO//acl:relcl//5 automatiserat//PC|PRF|NEU|SIN|IND|NOM//xcomp//7 kan//VB|PRS|AKT//xcomp//7 ,//MID//punct//0 när//HA//mark//15 han//PN|UTR|SIN|DEF|SUB//nsubj//15 eller//KN//cc//14 hon//PN|UTR|SIN|DEF|SUB//conj//12 vill//VB|PRS|AKT//acl:relcl//0 ,//MID//punct//0 ta//VB|INF|AKT//ROOT//17 del//NN|UTR|SIN|IND|NOM//obj//17 av//PP//case//20 informationen//NN|UTR|SIN|DEF|NOM//nmod//18 på//PP//case//23 en//DT|UTR|SIN|IND//det//23 bildskärm//NN|UTR|SIN|IND|NOM//nmod//20 .//MAD//punct//17
Direktåtkomst;Åtkomsten//NN|UTR|SIN|DEF|NOM//nsubj//27 kan//VB|PRS|AKT//aux//27 avse//VB|INF|AKT//parataxis//17 all//DT|UTR|SIN|IND/DEF//det//29 information//NN|UTR|SIN|IND|NOM//obj//27 som//HP|-|-|-//nsubj//31 finns//VB|PRS|SFO//acl:relcl//29 eller//KN//cc//35 endast//AB//advmod//35 en//DT|UTR|SIN|IND//det//35 del//NN|UTR|SIN|IND|NOM//conj//29 av//PP//case//37 denna//PN|UTR|SIN|DEF|SUB/OBJ//nmod//35 .//MAD//punct//27
Direktåtkomst;Direktåtkomst//NN|UTR|SIN|IND|NOM//nsubj//40 ger//VB|PRS|AKT//parataxis//27 inte//AB//advmod//40 i//PL//case//44 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//42 möjlighet//NN|UTR|SIN|IND|NOM//obl//40 att//IE//mark//46 påverka//VB|INF|AKT//acl//44 informationsinnehållet//NN|NEU|SIN|DEF|NOM//obj//46 .//MAD//punct//40
Direktåtkomst;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//53 om//PP//case//51 direktåtkomst//NN|UTR|SIN|IND|NOM//nmod//49 har//VB|PRS|AKT//aux//53 behandlats//VB|SUP|SFO//parataxis//40 i//PP//case//56 avsnitt//NN|NEU|SIN|IND|NOM//nmod//56 6.9//RG|NOM//obl//53 .//MAD//punct//27
Direktåtkomst;De//DT|UTR/NEU|PLU|DEF//det//1 sekretessbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//24 som//HP|-|-|-//nsubj//3 gäller//VB|PRS|AKT//acl:relcl//1 vid//PP//case//5 behandling//NN|UTR|SIN|IND|NOM//obl//3 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 inom//PP//case//9 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//1 bl.a.//AB|AN//advmod//16 7//RG|NOM//nummod//13 kap.//NN|AN//obl//15 4//RG|NOM//nummod//15 §//NN|AN//nmod//16 sekretesslagen//NN|UTR|SIN|DEF|NOM//appos//1 och//KN//cc//22 51//RG|NOM//nummod//19 §//NN|AN//nmod//21 andra//RO|NOM//amod//21 stycket//NN|NEU|SIN|DEF|NOM//amod//22 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//conj//16 )//PAD//punct//1 innebär//VB|PRS|AKT//ROOT//24 ,//MID//punct//24 oavsett//AB|POS//mark//30 om//SN//mark//30 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 är//VB|PRS|AKT//cop//30 fråga//NN|UTR|SIN|IND|NOM//advcl//24 att//IE//mark//32 lämna//VB|INF|AKT//csubj//30 ut//PL//compound:prt//32 uppgifter//NN|UTR|PLU|IND|NOM//obj//32 på//PP//case//36 papper//NN|NEU|SIN|IND|NOM//obl//32 eller//KN//cc//40 om//SN//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 rör//VB|PRS|AKT//conj//30 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//40 om//PP//case//43 direktåtkomst//NN|UTR|SIN|IND|NOM//obl//40 ,//MID//punct//40 ett//DT|NEU|SIN|IND//det//48 mycket//AB|POS//advmod//47 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//48 skydd//NN|NEU|SIN|IND|NOM//obj//40 för//PP//case//50 person//NN|UTR|SIN|IND|NOM//nmod//48 uppgifterna//NN|UTR|PLU|DEF|NOM//obj//40 .//MAD//punct//24
Direktåtkomst;Vidare//AB|KOM//advmod//54 innebär//VB|PRS|AKT//parataxis//24 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 regler//NN|UTR|PLU|IND|NOM//obj//54 om//PP//mark//62 att//SN//mark//62 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//62 inte//AB//advmod//62 får//VB|PRS|AKT//aux//62 behandlas//VB|INF|SFO//acl//56 för//PP//case//65 något//DT|NEU|SIN|IND//det//65 ändamål//NN|NEU|SIN|IND|NOM//obl//62 som//HP|-|-|-//nsubj//68 är//VB|PRS|AKT//cop//68 oförenligt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//65 med//PP//case//70 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//68 för//PP//mark//74 vilket//HP|NEU|SIN|IND//fixed//71 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//74 samlades//VB|PRT|SFO//advcl//68 in//PL//compound:prt//74 ,//MID//punct//74 att//SN//mark//100 de//DT|UTR/NEU|PLU|DEF//det//79 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//100 som//HP|-|-|-//nsubj:pass//81 behandlas//VB|PRS|SFO//acl:relcl//79 skall//VB|PRS|AKT//aux//84 vara//VB|INF|AKT//cop//84 adekvata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//81 och//KN//cc//86 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//84 i//PP//case//90 förhållande//NN|NEU|SIN|IND|NOM//fixed//87 till//PP//fixed//87 ändamålen//NN|NEU|PLU|DEF|NOM//obl//86 med//PP//case//92 behandlingen//NN|UTR|SIN|DEF|NOM//obl//86 ,//MID//punct//100 samt//KN//cc//100 att//SN//mark//100 inte//AB//advmod//97 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//98 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//100 får//VB|PRS|AKT//aux//100 behandlas//VB|INF|SFO//advcl//74 än//KN//mark//104 som//HP|-|-|-//nsubj//104 är//VB|PRS|AKT//cop//104 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//advcl//100 med//PP//case//108 hänsyn//NN|UTR|SIN|IND|NOM//fixed//105 till//PP//case//108 ändamålen//NN|NEU|PLU|DEF|NOM//obl//104 med//PP//case//110 behandlingen//NN|UTR|SIN|DEF|NOM//obl//104 (//PAD//punct//110 9//RG|NOM//nummod//113 §//NN|AN//nmod//115 första//RO|NOM//amod//115 stycket//NN|NEU|SIN|DEF|NOM//appos//110 d//NN|NEU|SIN|IND|NOM//nummod//115 ,//MID//punct//118 e//NN|NEU|SIN|IND|NOM//conj//115 och//KN//cc//115 f//NN|NEU|SIN|IND|NOM//nummod//115 )//PAD//punct//54 ,//MID//punct//125 ett//DT|NEU|SIN|IND//det//125 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//125 skydd//NN|NEU|SIN|IND|NOM//parataxis//54 för//PP//case//127 personuppgifterna//NN|UTR|PLU|DEF|NOM//nmod//125 .//MAD//punct//54
Direktåtkomst;Även//AB//advmod//131 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//131 gäller//VB|PRS|AKT//advcl//54 oavsett//AB|POS//mark//137 på//PP//case//136 vilket//HD|NEU|SIN|IND//det//136 medium//NN|NEU|SIN|IND|NOM//amod//136 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//137 tas//VB|PRS|SFO//advcl//131 fram//PL//compound:prt//137 .//MAD//punct//54
Direktåtkomst;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//141 finns//VB|PRS|SFO//parataxis//54 inget//DT|NEU|SIN|IND//det//143 behov//NN|NEU|SIN|IND|NOM//nsubj//141 av//PP//mark//147 att//IE//mark//147 härutöver//AB//advmod//147 föreslå//VB|INF|AKT//acl//143 en//DT|UTR|SIN|IND//det//149 regel//NN|UTR|SIN|IND|NOM//obj//147 som//HP|-|-|-//nsubj//151 innebär//VB|PRS|AKT//acl:relcl//149 begränsningar//NN|UTR|PLU|IND|NOM//obj//151 av//PP//case//154 åtkomsten//NN|UTR|SIN|DEF|NOM//nmod//152 till//PP//case//156 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//154 som//HP|-|-|-//nsubj:pass//158 behandlas//VB|PRS|SFO//acl:relcl//156 automatiserat//PC|PRF|NEU|SIN|IND|NOM//xcomp//158 inom//PP//case//161 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//158 .//MAD//punct//54
Direktåtkomst;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 framhåller//VB|PRS|AKT//ROOT//1 att//SN//advmod//1 en//DT|UTR|SIN|IND//det//4 förutsättning//NN|UTR|SIN|IND|NOM//obj//1 för//PP//mark//13 att//SN//mark//13 en//DT|UTR|SIN|IND//det//8 lösning//NN|UTR|SIN|IND|NOM//nsubj//13 som//HP|-|-|-//case//11 den//DT|UTR|SIN|DEF//det//11 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//nmod//8 skall//VB|PRS|AKT//aux//13 ge//VB|INF|AKT//acl//4 ett//DT|NEU|SIN|IND//det//16 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//amod//16 integritetsskydd//NN|NEU|SIN|IND|NOM//obj//13 är//VB|PRS|AKT//cop//4 att//SN//mark//22 den//DT|UTR|SIN|DEF//det//20 person//NN|UTR|SIN|IND|NOM//nsubj//22 uppgiftsansvarige//JJ|POS|MAS|SIN|DEF|NOM//acl//20 begränsar//VB|PRS|AKT//csubj//4 den//DT|UTR|SIN|DEF//det//24 krets//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//26 personer//NN|UTR|PLU|IND|NOM//nmod//24 som//HP|-|-|-//nsubj//28 har//VB|PRS|AKT//acl:relcl//26 direktåtkomst//NN|UTR|SIN|IND|NOM//obj//28 till//PP//case//31 information//NN|UTR|SIN|IND|NOM//obl//28 –//RG|NOM//punct//24 vilket//HP|NEU|SIN|IND//nsubj//41 redan//AB//advmod//39 med//PP//case//39 hänsyn//NN|UTR|SIN|IND|NOM//fixed//35 till//PP//fixed//35 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 sekretessregler//NN|UTR|PLU|IND|NOM//nsubj//41 är//VB|PRS|AKT//cop//41 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//24 –//RG|NOM//punct//46 och//KN//cc//46 att//SN//mark//46 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//46 finns//VB|PRS|SFO//conj//22 system//NN|NEU|PLU|IND|NOM//nsubj//46 för//PP//case//49 behörighetskontroll//NN|UTR|SIN|IND|NOM//nmod//47 .//MAD//punct//46
Direktåtkomst;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//52 har//VB|PRS|AKT//aux//57 vid//PP//case//55 sin//PS|UTR|SIN|DEF//nmod:poss//55 bedömning//NN|UTR|SIN|IND|NOM//obl//57 också//AB//advmod//57 utgått//VB|SUP|AKT//parataxis//46 från//PP//mark//61 att//SN//mark//61 så//AB//advmod//61 blir//VB|PRS|AKT//advcl//57 fallet//NN|NEU|SIN|DEF|NOM//xcomp//61 och//KN//cc//68 att//SN//mark//68 de//DT|UTR/NEU|PLU|DEF//det//67 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 systemen//NN|NEU|PLU|DEF|NOM//nsubj:pass//68 utformas//VB|INF|SFO//conj//61 så//AB//mark//74 att//SN//fixed//69 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//74 i//PP//advmod//74 efterhand//AB//fixed//72 går//VB|PRS|AKT//ccomp//68 att//IE//mark//76 fastställa//VB|INF|AKT//csubj//74 vilka//HD|UTR/NEU|PLU|IND//det//78 personer//NN|UTR|PLU|IND|NOM//obj//76 som//HP|-|-|-//nsubj//81 har//VB|PRS|AKT//aux//81 tagit//VB|SUP|AKT//acl:relcl//78 del//NN|UTR|SIN|IND|NOM//obj//81 av//PP//case//84 information//NN|UTR|SIN|IND|NOM//nmod//82 .//MAD//punct//1

Information;Personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//7 om//PP//case//5 den//DT|UTR|SIN|DEF//det//4 personuppgiftsansvariges//JJ|POS|MAS|SIN|DEF|GEN//nmod:poss//5 informationsplikt//NN|UTR|SIN|IND|NOM//nmod//1 skall//VB|PRS|AKT//aux//7 gälla//VB|INF|AKT//ROOT//7 även//AB//advmod//11 när//HA//mark//11 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//11 behandlas//VB|PRS|SFO//advcl//7 inom//PP//case//13 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//11 (//PAD//punct//13 avsnitt//NN|NEU|SIN|IND|NOM//nmod//16 6.10//RG|NOM//appos//13 )//PAD//punct//7 .//MAD//punct//7
Information;Några//DT|UTR/NEU|PLU|IND//det//21 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//24 om//PP//case//23 information//NN|UTR|SIN|IND|NOM//nmod//21 behövs//VB|PRS|SFO//conj//7 inte//AB//advmod//24 i//PP//case//29 den//DT|UTR|SIN|DEF//det//29 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//29 lagen//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//24
Information;I//PP//case//32 betänkandet//NN|NEU|SIN|DEF|NOM//obl//33 gör//VB|PRS|AKT//parataxis//24 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//33 en//DT|UTR|SIN|IND//det//36 bedömning//NN|UTR|SIN|IND|NOM//obj//33 av//PP//mark//46 hur//HA//advmod//46 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//40 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//46 om//PP//case//42 information//NN|UTR|SIN|IND|NOM//nmod//40 kan//VB|PRS|AKT//aux//46 komma//VB|INF|AKT//aux//46 att//IE//mark//46 tillämpas//VB|INF|SFO//acl//36 inom//PP//case//48 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//46 .//MAD//punct//7

Säkerheten vid behandling och tillsynsmyndighetens befogenheter;Personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//10 om//PP//case//3 säkerheten//NN|UTR|SIN|DEF|NOM//nmod//1 vid//PP//case//5 behandling//NN|UTR|SIN|IND|NOM//nmod//3 och//KN//cc//8 tillsynsmyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 befogenheter//NN|UTR|PLU|IND|NOM//conj//5 skall//VB|PRS|AKT//aux//10 gälla//VB|INF|AKT//ROOT//10 också//AB//advmod//15 när//HA//mark//15 person//NN|UTR|SIN|IND|NOM//nsubj:pass//15 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//15 behandlas//VB|PRS|SFO//advcl//10 inom//PP//case//17 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//15 (//PAD//punct//17 avsnitt//NN|NEU|SIN|IND|NOM//nmod//20 6.11//RG|NOM//appos//17 )//PAD//punct//10 .//MAD//punct//10
Säkerheten vid behandling och tillsynsmyndighetens befogenheter;Några//DT|UTR/NEU|PLU|IND//det//25 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//27 därutöver//AB//advmod//27 behövs//VB|PRS|SFO//conj//10 inte//AB//advmod//27 i//PP//case//32 den//DT|UTR|SIN|DEF//det//32 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//32 lagen//NN|UTR|SIN|DEF|NOM//obl//27 .//MAD//punct//10
Säkerheten vid behandling och tillsynsmyndighetens befogenheter;Datainspektionen//PM|NOM//nsubj//37 skall//VB|PRS|AKT//aux//37 vara//VB|INF|AKT//cop//37 tillsynsmyndighet//NN|UTR|SIN|IND|NOM//parataxis//10 även//AB//advmod//42 enligt//PP//case//42 den//DT|UTR|SIN|DEF//det//42 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//42 lagen//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//37
