Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
Bilaga 1 / Uppdragets genomförande;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 genomföras//VB|INF|SFO//ROOT//3 i//PP//case//5 samråd//NN|NEU|SIN|IND|NOM//obl//3 med//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 myndigheter//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//10 har//VB|PRS|AKT//acl:relcl//8 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 uppgifter//NN|UTR|PLU|IND|NOM//obj//10 inom//PP//case//14 IT-säkerhetsområdet//NN|NEU|SIN|DEF|NOM//obl//10 ,//MID//punct//3 bl.a.//AB|AN//advmod//17 MSB//PM|NOM//obl//3 samt//KN//cc//19 Post-//NN|UTR|-|-|SMS//conj//17 och//KN//cc//21 telestyrelsen//NN|UTR|SIN|DEF|NOM//conj//17 (//PAD//punct//17 PTS//PM|NOM//appos//17 )//PAD//punct//17 .//MAD//punct//3
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//29 ska//VB|PRS|AKT//aux//29 också//AB//advmod//29 samråda//VB|INF|AKT//parataxis//3 med//PP//case//31 MSB//PM|NOM//obl//29 i//PP//case//33 frågor//NN|UTR|PLU|IND|NOM//nmod//31 om//PP//case//36 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//36 identifiering//NN|UTR|SIN|IND|NOM//nmod//33 och//KN//cc//38 underskrift//NN|UTR|SIN|IND|NOM//conj//36 .//MAD//punct//29
Bilaga 1 / Uppdragets genomförande;Redovisning//NN|UTR|SIN|IND|NOM//ROOT//0
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 inledningsvis//AB//advmod//3 ta//VB|INF|AKT//ROOT//3 fram//PL//compound:prt//3 förslag//NN|NEU|SIN|IND|NOM//obj//3 till//PP//case//8 en//DT|UTR|SIN|IND//det//8 strategi//NN|UTR|SIN|IND|NOM//nmod//5 för//PP//case//11 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//11 arbete//NN|NEU|SIN|IND|NOM//nmod//8 med//PP//case//13 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//11 som//HP|-|-|-//nsubj:pass//16 ska//VB|PRS|AKT//aux//16 lämnas//VB|INF|SFO//acl:relcl//8 till//PP//case//18 regeringen//NN|UTR|SIN|DEF|NOM//obl//16 senast//AB|SUV//case//22 den//DT|UTR|SIN|DEF//det//21 30//RG|NOM//nummod//22 september//NN|UTR|SIN|IND|NOM//obl//16 2009//RG|NOM//nummod//22 (//PAD//punct//25 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//23 )//PAD//punct//25 .//MAD//punct//3
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//5 ska//VB|PRS|AKT//aux//5 med//PP//case//3 början//NN|UTR|SIN|DEF|NOM//obl//5 2010//RG|NOM//nummod//3 redovisa//VB|INF|AKT//ROOT//5 sitt//PS|NEU|SIN|DEF//nmod:poss//7 arbete//NN|NEU|SIN|IND|NOM//obj//5 till//PP//case//9 regeringen//NN|UTR|SIN|DEF|NOM//obl//5 (//PAD//punct//11 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//9 )//PAD//punct//11 senast//AB|SUV//case//16 den//DT|UTR|SIN|DEF//det//16 20//RO|NOM//nummod//16 mars//NN|UTR|SIN|IND|NOM//obl//5 respektive//AB//cc//20 den//DT|UTR|SIN|DEF//det//20 1//RO|NOM//nummod//20 oktober//NN|UTR|SIN|IND|NOM//conj//16 varje//DT|UTR/NEU|SIN|IND//det//22 år//NN|NEU|SIN|IND|NOM//nmod//20 .//MAD//punct//5
Bilaga 1 / Uppdragets genomförande;Ett//DT|NEU|SIN|IND//det//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//13 till//PP//mark//6 hur//HA//advmod//6 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//6 kan//VB|PRS|AKT//aux//6 föras//VB|INF|SFO//acl//1 vidare//AB|KOM//compound:prt//6 i//PP//case//11 ett//DT|NEU|SIN|IND//det//11 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 perspektiv//NN|NEU|SIN|IND|NOM//obl//6 ska//VB|PRS|AKT//aux//13 lämnas//VB|INF|SFO//ROOT//13 senast//AB|SUV//case//17 den//DT|UTR|SIN|DEF//det//17 20//RG|NOM//nummod//17 mars//NN|UTR|SIN|IND|NOM//obl//13 2014//RG|NOM//nummod//17 .//MAD//punct//13
Bilaga 1 / Uppdragets genomförande;En//DT|UTR|SIN|IND//det//1 slutredovisning//NN|UTR|SIN|IND|NOM//nsubj:pass//5 av//PP//case//3 arbete//NN|NEU|SIN|IND|NOM//nmod//1 ska//VB|PRS|AKT//aux//5 lämnas//VB|INF|SFO//ROOT//5 senast//AB|SUV//case//9 den//DT|UTR|SIN|DEF//det//9 31//RG|NOM//nummod//9 december//NN|UTR|SIN|IND|NOM//obl//5 2014//RG|NOM//nummod//9 .//MAD//punct//5
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 ska//VB|PRS|AKT//ROOT//1 ,//MID//punct//1 utöver//PP//case//4 vad//HP|NEU|SIN|IND//obl//11 som//HP|-|-|-//mark//7 i//PP//case//7 kommittéförordningen//NN|UTR|SIN|DEF|NOM//nmod//4 (//PAD//punct//7 1998:1474//RG|NOM//conj//7 )//PAD//punct//4 föreskrivs//VB|PRS|SFO//ccomp//1 om//PP//case//13 konsekvensbedömningar//NN|UTR|PLU|IND|NOM//obl//11 ,//MID//punct//15 beskriva//VB|INF|AKT//conj//1 konsekvenser//NN|UTR|PLU|IND|NOM//obj//15 för//PP//case//18 användare//NN|UTR|PLU|IND|NOM//nmod//16 av//PP//case//20 e-tjänster//NN|UTR|PLU|IND|NOM//nmod//18 .//MAD//punct//1
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 också//AB//advmod//3 redovisa//VB|INF|AKT//ROOT//3 till//PP//case//5 regeringen//NN|UTR|SIN|DEF|NOM//obl//3 om//SN//case//7 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//11 i//PP//case//10 sitt//PS|NEU|SIN|DEF//nmod:poss//10 arbete//NN|NEU|SIN|IND|NOM//obl//11 identifierar//VB|PRS|AKT//advcl//3 regelverk//NN|NEU|PLU|IND|NOM//obj//11 som//HP|-|-|-//nsubj//18 på//PP//case//17 ett//DT|NEU|SIN|IND//det//17 olämpligt//JJ|POS|NEU|SIN|IND|NOM//amod//17 sätt//NN|NEU|SIN|IND|NOM//obl//18 hindrar//VB|PRS|AKT//acl:relcl//12 elektroniskt//JJ|POS|NEU|SIN|IND|NOM//amod//20 informationsutbyte//NN|NEU|SIN|IND|NOM//obj//18 .//MAD//punct//3
Bilaga 1 / Uppdragets genomförande;Vid//PP//case//23 behov//NN|NEU|SIN|IND|NOM//obl//26 ska//VB|PRS|AKT//aux//26 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//26 lämna//VB|INF|AKT//conj//3 förslag//NN|NEU|SIN|IND|NOM//obj//26 till//PP//case//29 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//27 .//MAD//punct//3
Bilaga 1 / Uppdragets genomförande;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 hålla//VB|INF|AKT//ROOT//2 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 arbetsorganisationer//NN|UTR|PLU|IND|NOM//obj//2 informerade//VB|PRT|AKT//xcomp//2 om//PP//case//8 arbetet//NN|NEU|SIN|DEF|NOM//obl//6 och//KN//cc//10 ge//VB|INF|AKT//conj//2 dem//PN|UTR/NEU|PLU|DEF|OBJ//iobj//10 möjlighet//NN|UTR|SIN|IND|NOM//obj//10 att//IE//mark//14 framföra//VB|INF|AKT//acl//12 synpunkter//NN|UTR|PLU|IND|NOM//obj//14 .//MAD//punct//2
Bilaga 1 / Uppdragets genomförande;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 avsikt//NN|UTR|SIN|IND|NOM//ROOT//3 att//IE//mark//5 utvärdera//VB|INF|AKT//csubj//3 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 verksamhet//NN|UTR|SIN|IND|NOM//obj//5 innan//PP//case//9 2014//RG|NOM//obl//5 .//MAD//punct//3
Bilaga 1 / Uppdragets genomförande;(//PAD//punct//12 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//3 )//PAD//punct//12


Bilaga 2 / Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 25//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//0 2010//RG|NOM//nummod//5 .//MAD//punct//0

Bilaga 2 / Utvidgning av uppdraget;E-delegationen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 tidigare//AB|KOM//advmod//3 fått//VB|SUP|AKT//ROOT//3 i//PP//compound:prt//3 uppdrag//NN|NEU|SIN|IND|NOM//fixed//4 att//IE//mark//8 bl.a.//AB|AN//advmod//8 koordinera//VB|INF|AKT//advcl//3 de//DT|UTR/NEU|PLU|DEF//det//11 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//13 IT-baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 utvecklingsprojekt//NN|NEU|PLU|IND|NOM//obj//8 .//MAD//punct//3
Bilaga 2 / Utvidgning av uppdraget;Utöver//PP//case//18 det//DT|NEU|SIN|DEF//det//18 ursprungliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 uppdraget//NN|NEU|SIN|DEF|NOM//obl//19 ges//VB|PRS|SFO//parataxis//3 delegationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 i//PP//case//22 uppdrag//NN|NEU|SIN|IND|NOM//obl//19 att//IE//mark//24 främja//VB|INF|AKT//acl//22 och//KN//cc//26 samordna//VB|INF|AKT//conj//24 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//28 arbete//NN|NEU|SIN|IND|NOM//obj//26 med//PP//mark//31 att//IE//mark//31 förbättra//VB|INF|AKT//advcl//26 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//31 för//PP//case//34 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//31 av//PP//case//36 handlingar//NN|UTR|PLU|IND|NOM//nmod//34 .//MAD//punct//3
Bilaga 2 / Utvidgning av uppdraget;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//40 ska//VB|PRS|AKT//aux//40 ta//VB|INF|AKT//parataxis//3 sin//PS|UTR|SIN|DEF//nmod:poss//42 utgångspunkt//NN|UTR|SIN|IND|NOM//obj//40 i//PP//case//45 den//DT|UTR|SIN|DEF//det//45 lag//NN|UTR|SIN|IND|NOM//obl//40 om//PP//case//47 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//45 av//PP//case//49 handlingar//NN|UTR|PLU|IND|NOM//nmod//47 från//PP//case//53 den//DT|UTR|SIN|DEF//det//53 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//49 som//HP|-|-|-//nsubj:pass//55 föreslås//VB|PRS|SFO//acl:relcl//53 i//PP//case//59 propositionen//NN|UTR|SIN|DEF|NOM//nmod//59 Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//59 förvaltning//NN|UTR|SIN|IND|NOM//obl//55 för//PP//case//61 demokrati//NN|UTR|SIN|IND|NOM//nmod//59 ,//MID//punct//63 delaktighet//NN|UTR|SIN|IND|NOM//conj//61 och//KN//cc//65 tillväxt//NN|UTR|SIN|IND|NOM//conj//61 (//PAD//punct//40 prop//NN|UTR|SIN|IND|NOM//appos//40 .//MID//punct//40
Bilaga 2 / Utvidgning av uppdraget;2009/10:175//RG|NOM//obj//3 )//PAD//punct//3 .//MAD//punct//3
Bilaga 2 / Utvidgning av uppdraget;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//83 ska//VB|PRS|AKT//aux//83 även//AB//advmod//79 inom//PP//case//79 ramen//NN|UTR|SIN|DEF|NOM//fixed//75 för//PP//fixed//75 sitt//PS|NEU|SIN|DEF//nmod:poss//79 uppdrag//NN|NEU|SIN|IND|NOM//obl//83 att//IE//mark//81 utveckla//VB|INF|AKT//acl//79 vägledningar//NN|UTR|PLU|IND|NOM//obj//81 ta//VB|INF|AKT//parataxis//3 fram//PL//compound:prt//83 riktlinjer//NN|UTR|PLU|IND|NOM//obj//83 för//PP//case//89 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//89 användning//NN|UTR|SIN|IND|NOM//obl//83 av//PP//case//92 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//92 medier//NN|NEU|PLU|IND|NOM//nmod//89 exempelvis//AB//advmod//94 webbforum//NN|NEU|PLU|IND|NOM//obl//83 och//KN//cc//96 bloggar//NN|UTR|PLU|IND|NOM//conj//94 .//MAD//punct//3

Bilaga 2 / E-delegationens ursprungliga uppdrag;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//1 2009//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 kommitté//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//11 uppdrag//NN|NEU|SIN|IND|NOM//nmod//9 att//IE//mark//14 bl.a.//AB|AN//advmod//14 koordinera//VB|INF|AKT//advcl//1 de//DT|UTR/NEU|PLU|DEF//det//17 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//19 IT-baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 utvecklingsprojekt//NN|NEU|PLU|IND|NOM//obj//14 samt//KN//cc//21 följa//VB|INF|AKT//conj//14 upp//PL//compound:prt//21 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//24 effekter//NN|UTR|PLU|IND|NOM//obj//21 för//PP//case//26 medborgare//NN|UTR|PLU|IND|NOM//nmod//24 ,//MID//punct//28 företagare//NN|UTR|PLU|IND|NOM//conj//26 och//KN//cc//30 medarbetare//NN|UTR|PLU|IND|NOM//conj//26 .//MID//punct//1
Bilaga 2 / E-delegationens ursprungliga uppdrag;Ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 uppgifter//NN|UTR|PLU|IND|NOM//appos//1 är//VB|PRS|AKT//cop//33 att//IE//mark//36 koordinera//VB|INF|AKT//csubj//33 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 IT-standardiseringsfrågor//NN|UTR|PLU|IND|NOM//obj//36 och//KN//cc//41 att//IE//mark//41 bistå//VB|INF|AKT//conj//36 regeringen//NN|UTR|SIN|DEF|NOM//obj//41 i//PP//case//46 det//DT|NEU|SIN|DEF//det//46 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 arbetet//NN|NEU|SIN|DEF|NOM//obl//41 på//PP//case//48 området//NN|NEU|SIN|DEF|NOM//nmod//46 .//MAD//punct//1
Bilaga 2 / E-delegationens ursprungliga uppdrag;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//53 är//VB|PRS|AKT//cop//53 att//IE//mark//53 stärka//VB|INF|AKT//parataxis//1 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//53 av//PP//case//56 e-förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//54 och//KN//cc//58 skapa//VB|INF|AKT//conj//53 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 möjligheter//NN|UTR|PLU|IND|NOM//obj//58 för//PP//case//63 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 samordning//NN|UTR|SIN|IND|NOM//nmod//60 (//PAD//punct//60 dir//NN|AN//appos//60 .//MAD//punct//53
Bilaga 2 / E-delegationens ursprungliga uppdrag;2009:19//RG|NOM//obl//53 )//PAD//punct//67 .//MAD//punct//72
Bilaga 2 / E-delegationens ursprungliga uppdrag;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//72 har//VB|PRS|AKT//aux//72 antagit//VB|SUP|AKT//conj//53 namnet//NN|NEU|SIN|DEF|NOM//nmod//74 E-delegationen//NN|UTR|SIN|DEF|NOM//obj//72 (//PAD//punct//74 Fi//PM|NOM//appos//74 2009:01//RG|NOM//obj//76 )//PAD//punct//74 .//MAD//punct//53
Bilaga 2 / E-delegationens ursprungliga uppdrag;Information//NN|UTR|SIN|IND|NOM//nsubj//8 som//HP|-|-|-//nsubj:pass//2 samlas//VB|PRS|SFO//acl:relcl//0 in//PL//compound:prt//2 eller//KN//cc//5 framställs//VB|PRS|SFO//conj//2 av//PP//case//7 myndigheter//NN|UTR|PLU|IND|NOM//obl//5 har//VB|PRS|AKT//ROOT//8 ofta//AB|POS//advmod//8 användningsområden//NN|NEU|PLU|IND|NOM//obj//8 utanför//PP//case//14 den//DT|UTR|SIN|DEF//det//14 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//8
Bilaga 2 / E-delegationens ursprungliga uppdrag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//parataxis//8 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//19 exempel//NN|NEU|PLU|IND|NOM//nsubj//17 på//PP//case//21 information//NN|UTR|SIN|IND|NOM//obl//17 hos//PP//case//23 myndigheter//NN|UTR|PLU|IND|NOM//nmod//21 som//HP|-|-|-//nsubj:pass//26 kan//VB|PRS|AKT//aux//26 användas//VB|INF|SFO//acl:relcl//21 kommersiellt//AB|POS//advmod//26 .//MAD//punct//17
Bilaga 2 / E-delegationens ursprungliga uppdrag;Väderinformation//NN|UTR|SIN|IND|NOM//nsubj:pass//32 kan//VB|PRS|AKT//aux//32 t.ex.//AB|AN//advmod//32 användas//VB|INF|SFO//parataxis//17 för//PP//case//35 kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 vädertjänster//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//37 kartinformation//NN|UTR|SIN|IND|NOM//conj//35 och//KN//cc//41 annan//JJ|POS|UTR|SIN|IND|NOM//amod//41 geografisk//JJ|POS|UTR|SIN|IND|NOM//amod//41 information//NN|UTR|SIN|IND|NOM//nsubj:pass//43 kan//VB|PRS|AKT//aux//43 användas//VB|INF|SFO//conj//32 för//PP//case//46 t.ex.//AB|AN//advmod//46 GPS-tjänster//NN|UTR|PLU|IND|NOM//obl//43 .//MAD//punct//32
Bilaga 2 / E-delegationens ursprungliga uppdrag;Ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//50 ett//DT|NEU|SIN|IND//det//50 exempel//NN|NEU|SIN|IND|NOM//nsubj//54 är//VB|PRS|AKT//cop//54 den//DT|UTR|SIN|DEF//det//54 officiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 statistiken//NN|UTR|SIN|DEF|NOM//parataxis//32 .//MAD//punct//54
Bilaga 2 / E-delegationens ursprungliga uppdrag;Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//57 information//NN|UTR|SIN|IND|NOM//nsubj:pass//61 från//PP//case//60 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 myndigheter//NN|UTR|PLU|IND|NOM//nmod//57 vidareutnyttjas//VB|PRS|SFO//parataxis//54 sedan//PP//advmod//61 länge//AB|POS//advmod//61 i//PP//case//66 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 omfattning//NN|UTR|SIN|IND|NOM//obl//61 för//PP//case//69 såväl//KN//advmod//69 kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//61 som//KN//mark//72 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 ändamål//NN|NEU|PLU|IND|NOM//nmod//69 .//MAD//punct//54
Bilaga 2 / E-delegationens ursprungliga uppdrag;Eftersom//SN//mark//77 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//77 har//VB|PRS|AKT//advcl//87 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 informationstillgångar//NN|UTR|PLU|IND|NOM//obj//77 av//PP//case//82 hög//JJ|POS|UTR|SIN|IND|NOM//amod//82 kvalitet//NN|UTR|SIN|IND|NOM//nmod//79 i//PP//case//85 elektronisk//JJ|POS|UTR|SIN|IND|NOM//amod//85 form//NN|UTR|SIN|IND|NOM//nmod//82 är//VB|PRS|AKT//cop//87 potentialen//NN|UTR|SIN|DEF|NOM//parataxis//54 för//PP//case//90 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 stor//JJ|POS|UTR|SIN|IND|NOM//nmod//87 .//MAD//punct//8
Bilaga 2 / E-delegationens ursprungliga uppdrag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 är//VB|PRS|AKT//cop//5 enligt//PP//case//4 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 mening//NN|UTR|SIN|IND|NOM//obl//5 viktigt//JJ|POS|NEU|SIN|IND|NOM//ROOT//5 att//IE//mark//7 förbättra//VB|INF|AKT//csubj//5 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//7 för//PP//case//10 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//7 av//PP//case//12 information//NN|UTR|SIN|IND|NOM//nmod//10 från//PP//case//14 myndigheter//NN|UTR|PLU|IND|NOM//nmod//12 för//PP//case//20 både//KN//cc//17 kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 och//KN//cc//19 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//17 ändamål//NN|NEU|PLU|IND|NOM//obl//10 .//MAD//punct//5
Bilaga 2 / E-delegationens ursprungliga uppdrag;PSI-direktivet//NN|NEU|SIN|DEF|NOM//ROOT//0
Bilaga 2 / E-delegationens ursprungliga uppdrag;Europaparlamentet//NN|NEU|SIN|DEF|NOM//nsubj//3 och//KN//cc//2 rådet//NN|NEU|SIN|DEF|NOM//conj//0 antog//VB|PRT|AKT//ROOT//3 den//DT|UTR|SIN|DEF//det//6 17//RG|NOM//nummod//6 november//NN|UTR|SIN|IND|NOM//obj//3 2003//RG|NOM//nummod//6 ett//DT|NEU|SIN|IND//det//9 direktiv//NN|NEU|SIN|IND|NOM//obj//3 (//PAD//punct//11 2003/98//RG|NOM//appos//9 ///MID//cc//13 EG//PM|NOM//conj//11 )//PAD//punct//11 om//PP//mark//16 vidareutnyttjande//NN|NEU|SIN|IND|NOM//advcl//3 av//PP//case//18 information//NN|UTR|SIN|IND|NOM//nmod//16 från//PP//case//22 den//DT|UTR|SIN|DEF//det//22 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 sektorn//NN|UTR|SIN|DEF|NOM//nmod//18 (//PAD//punct//24 PSI-direktivet//NN|NEU|SIN|DEF|NOM//appos//18 )//PAD//punct//24 .//MAD//punct//3
Bilaga 2 / E-delegationens ursprungliga uppdrag;Direktivet//NN|NEU|SIN|DEF|NOM//nsubj//28 innehåller//VB|PRS|AKT//conj//3 en//DT|UTR|SIN|IND//det//30 uppsättning//NN|UTR|SIN|IND|NOM//obj//28 minimiregler//NN|NEU|PLU|IND|NOM//xcomp//28 för//PP//case//33 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//28 av//PP//case//35 handlingar//NN|UTR|PLU|IND|NOM//nmod//33 som//HP|-|-|-//nsubj//37 finns//VB|PRS|SFO//acl:relcl//35 hos//PP//case//39 myndigheter//NN|UTR|PLU|IND|NOM//obl//37 och//KN//cc//43 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 organ//NN|NEU|PLU|IND|NOM//conj//39 .//MAD//punct//28
Bilaga 2 / E-delegationens ursprungliga uppdrag;Syftet//NN|NEU|SIN|DEF|NOM//appos//28 med//PP//case//47 direktivet//NN|NEU|SIN|DEF|NOM//nmod//45 är//VB|PRS|AKT//cop//45 att//IE//mark//50 skapa//VB|INF|AKT//acl//45 förutsättningar//NN|UTR|PLU|IND|NOM//obj//50 för//PP//case//55 en//DT|UTR|SIN|IND//det//55 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//55 informationsmarknad//NN|UTR|SIN|IND|NOM//nmod//51 genom//PP//mark//58 att//IE//mark//58 genomföra//VB|INF|AKT//advcl//50 ett//DT|NEU|SIN|IND//det//60 minimum//NN|NEU|SIN|IND|NOM//obj//58 av//PP//case//62 harmonisering//NN|UTR|SIN|IND|NOM//obl//58 och//KN//cc//64 anta//VB|INF|AKT//conj//50 en//DT|UTR|SIN|IND//det//67 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//67 ram//NN|UTR|SIN|IND|NOM//obj//64 för//PP//case//69 villkor//NN|NEU|PLU|IND|NOM//obl//64 för//PP//case//71 vidareutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//64 av//PP//case//73 handlingar//NN|UTR|PLU|IND|NOM//nmod//71 som//HP|-|-|-//nsubj:pass//75 produceras//VB|PRS|SFO//acl:relcl//73 inom//PP//case//79 den//DT|UTR|SIN|DEF//det//79 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//79 förvaltningen//NN|UTR|SIN|DEF|NOM//obl//75 .//MAD//punct//3
Bilaga 2 / E-delegationens ursprungliga uppdrag;Direktivet//NN|NEU|SIN|DEF|NOM//nsubj//84 skulle//VB|PRT|AKT//aux//84 vara//VB|INF|AKT//aux:pass//84 genomfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//3 i//PP//case//86 medlemsstaterna//NN|UTR|PLU|DEF|NOM//obl//84 den//DT|UTR|SIN|DEF//det//89 1//RO|NOM//nummod//89 juli//NN|UTR|SIN|IND|NOM//obl//84 2005//RG|NOM//nummod//89 .//MAD//punct//3
